"MTU","Out Area","In Area","Physical Flow (MW)"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Belgium (BE)","Luxembourg (LU)","0.00"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Luxembourg (LU)","Belgium (BE)","49.53"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Netherlands (NL)","Belgium (BE)","2631.76"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Belgium (BE)","United Kingdom (UK)","1010.66"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","France (FR)","Belgium (BE)","2907.15"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Belgium (BE)","Germany (DE)","780.01"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Belgium (BE)","Luxembourg (LU)","0.00"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Luxembourg (LU)","Belgium (BE)","72.70"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Netherlands (NL)","Belgium (BE)","2222.21"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","Belgium (BE)","United Kingdom (UK)","997.02"
"17/10/2025 15:00:00 - 17/10/2025 16:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","France (FR)","Belgium (BE)","2473.92"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Belgium (BE)","Germany (DE)","976.38"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Belgium (BE)","Luxembourg (LU)","39.46"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Netherlands (NL)","Belgium (BE)","1749.33"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","Belgium (BE)","United Kingdom (UK)","496.54"
"17/10/2025 16:00:00 - 17/10/2025 17:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","France (FR)","Belgium (BE)","2872.44"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Belgium (BE)","Germany (DE)","1002.41"
