"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"15/10/2025 14:45 - 15/10/2025 15:00","Belgium (BE)","10407.93","10211.10"
"15/10/2025 15:00 - 15/10/2025 15:15","Belgium (BE)","10769.24","10341.38"
"15/10/2025 15:15 - 15/10/2025 15:30","Belgium (BE)","10580.88","10230.71"
"15/10/2025 15:30 - 15/10/2025 15:45","Belgium (BE)","10451.69","10103.54"
"15/10/2025 15:45 - 15/10/2025 16:00","Belgium (BE)","10377.27","9977.00"
"15/10/2025 16:00 - 15/10/2025 16:15","Belgium (BE)","10611.44","10126.82"
"15/10/2025 16:15 - 15/10/2025 16:30","Belgium (BE)","10481.32","10007.33"
"15/10/2025 16:30 - 15/10/2025 16:45","Belgium (BE)","10383.59","9993.57"
"15/10/2025 16:45 - 15/10/2025 17:00","Belgium (BE)","10348.06","9993.33"
"15/10/2025 17:00 - 15/10/2025 17:15","Belgium (BE)","10641.74","10284.68"
"15/10/2025 17:15 - 15/10/2025 17:30","Belgium (BE)","10541.84","10245.21"
"15/10/2025 17:30 - 15/10/2025 17:45","Belgium (BE)","10573.91","10249.83"
"15/10/2025 17:45 - 15/10/2025 18:00","Belgium (BE)","10573.23","10312.03"
"15/10/2025 18:00 - 15/10/2025 18:15","Belgium (BE)","10603.04","10526.16"
"15/10/2025 18:15 - 15/10/2025 18:30","Belgium (BE)","10644.76","10550.51"
"15/10/2025 18:30 - 15/10/2025 18:45","Belgium (BE)","10718.38","10540.03"
"15/10/2025 18:45 - 15/10/2025 19:00","Belgium (BE)","10854.47","10475.06"
"15/10/2025 19:00 - 15/10/2025 19:15","Belgium (BE)","10802.21","10615.46"
"15/10/2025 19:15 - 15/10/2025 19:30","Belgium (BE)","10750.04","10602.50"
"15/10/2025 19:30 - 15/10/2025 19:45","Belgium (BE)","10757.12","10582.51"
"15/10/2025 19:45 - 15/10/2025 20:00","Belgium (BE)","10635.10","10546.34"
"15/10/2025 20:00 - 15/10/2025 20:15","Belgium (BE)","10521.07","10365.58"
